0.161031,100.671,2.0003,0.107
1.18844,76.1991,3.0003,0.089
2.17063,91.4083,4.0003,0.1
3.18084,80.3421,5.0003,0.094
4.1753,85.732,6.0003,0.094
5.17544,85.882,7.0003,0.094
6.17528,85.7133,8.0003,0.094
7.17525,85.6768,9.0003,0.094
8.17537,85.8045,10.0003,0.094
9.17568,86.1409,11.0003,0.094
10.1752,85.6413,12.0003,0.094
11.1752,85.6048,13.0003,0.094
12.1756,86.0193,14.0003,0.094
13.1756,86.071,15.0003,0.094
14.1753,85.7082,16.0003,0.094
15.1756,86.0274,17.0003,0.094
16.1749,85.31,18.0003,0.094
17.1748,85.233,19.0003,0.094
18.1752,85.6121,20.0003,0.094
19.1748,86.0132,21.0003,0.094
20.1756,86.1498,22.0003,0.094
