0.343178,136.02,1.02604,0.133
1.33093,147.827,2.06023,0.145
2.34312,135.559,3.0645,0.133
3.33098,147.862,4.08346,0.145
4.34314,135.569,5.00956,0.133
5.33096,147.847,6.00867,0.145
6.34317,135.589,7.06143,0.133
7.33093,147.829,8.01062,0.145
8.3431,135.544,9.09489,0.133
9.33097,147.857,10.4227,0.145
10.3433,135.658,11.0652,0.133
11.331,147.845,12.0809,0.145
12.3432,135.589,13.0062,0.133
13.3309,147.808,14.1332,0.145
14.3431,135.559,15.2976,0.133
15.3309,147.832,16.094,0.145
16.3432,135.586,17.0877,0.133
17.331,147.862,18.0078,0.145
18.3431,135.572,19.0265,0.133
