0.227116,55.9779,1.0001,0.08
1.16101,100.648,2.05992,0.107
2.18841,76.1738,3.03302,0.089
3.16972,90.3845,4.03922,0.1
4.18118,80.6894,5.0001,0.094
5.17544,85.882,6.02596,0.094
6.17528,85.7133,7.02184,0.094
7.17525,85.6768,8.03207,0.094
8.17537,85.8045,9.01819,0.094
9.17568,86.1409,10.0233,0.094
10.1752,85.6413,11.0112,0.094
11.1752,85.6048,12.034,0.094
12.1756,86.0193,13.0421,0.094
13.1756,86.071,14.0041,0.094
14.1753,85.7082,15.0128,0.094
15.1756,86.0274,16.0257,0.094
16.1749,85.31,17.0159,0.094
17.1748,85.233,18.0196,0.094
18.1756,86.0497,19.0408,0.094
