0.277496,246.252,1.1669,0.16
1.35772,123.269,2.02048,0.123
2.32066,160.134,3.38787,0.16
3.35777,123.299,4.1475,0.123
4.32064,160.117,5.46524,0.16
5.35779,123.309,6.05716,0.123
6.32069,160.162,7.31802,0.16
7.35782,123.33,8.17989,0.123
8.32062,160.103,9.4622,0.16
9.35786,123.355,10.284,0.123
10.3207,160.151,11.089,0.16
11.3578,123.327,12.049,0.123
12.3207,160.14,13.0486,0.16
13.3578,123.292,14.0073,0.123
14.3207,160.141,14.0073,0.16
15.3207,160.131,16.0449,0.16
16.3578,123.33,17.0853,0.123
17.3207,160.159,18.1406,0.16
18.3577,123.281,19.1963,0.123
